datapath,n_features,context_dim,n_layers,hidden_dim,size_of_cpt,num_edges,max_parents,numparams
data/1,10,128,0,32,68,11,3,81026
data/1,10,128,1,32,68,11,3,91586
data/1,10,128,2,32,68,11,3,102146
data/0,10,128,0,32,442,32,6,81026
data/0,10,128,1,32,442,32,6,91586
data/0,10,128,2,32,442,32,6,102146
data/2,25,128,0,32,334,43,3,346466
data/2,25,128,1,32,334,43,3,372866
data/2,25,128,2,32,334,43,3,399266
data/3,25,128,0,32,1220,84,5,346466
data/3,25,128,1,32,1220,84,5,372866
data/3,25,128,2,32,1220,84,5,399266
data/4,50,128,0,32,1294,116,3,1172866
data/4,50,128,1,32,1294,116,3,1225666
data/4,50,128,2,32,1294,116,3,1278466
