datapath,n_features,embedding_dim,aggregator,n_layers,n_heads,reduce_type,learn_adjacency,tie_embeddings,tie_aggregator,size_of_cpt,num_edges,max_parents,numparams
data/0,10,2,transformer,1,1,,,True,,62,9,3,66
data/0,10,2,transformer,1,2,,,True,,62,9,3,66
data/0,10,2,transformer,1,1,,,False,,62,9,3,120
data/0,10,2,transformer,1,2,,,False,,62,9,3,120
data/0,10,2,transformer,2,1,,,True,,62,9,3,102
data/0,10,2,transformer,2,2,,,True,,62,9,3,102
data/0,10,2,transformer,2,1,,,False,,62,9,3,156
data/0,10,2,transformer,2,2,,,False,,62,9,3,156
data/0,10,2,transformer,4,1,,,True,,62,9,3,174
data/0,10,2,transformer,4,2,,,True,,62,9,3,174
data/0,10,2,transformer,4,1,,,False,,62,9,3,228
data/0,10,2,transformer,4,2,,,False,,62,9,3,228
data/0,10,2,mlp,1,1,mean,True,True,True,62,9,3,150
data/0,10,2,mlp,1,1,mean,True,True,False,62,9,3,150
data/0,10,2,mlp,1,1,mean,False,True,,62,9,3,50
data/0,10,2,mlp,1,1,sum,True,True,True,62,9,3,150
data/0,10,2,mlp,1,1,sum,True,True,False,62,9,3,150
data/0,10,2,mlp,1,1,sum,False,True,,62,9,3,50
data/0,10,2,mlp,1,2,mean,True,True,True,62,9,3,250
data/0,10,2,mlp,1,2,mean,True,True,False,62,9,3,250
data/0,10,2,mlp,1,2,sum,True,True,True,62,9,3,250
data/0,10,2,mlp,1,2,sum,True,True,False,62,9,3,250
data/0,10,2,mlp,1,1,mean,True,False,True,62,9,3,204
data/0,10,2,mlp,1,1,mean,True,False,False,62,9,3,204
data/0,10,2,mlp,1,1,mean,False,False,,62,9,3,104
data/0,10,2,mlp,1,1,sum,True,False,True,62,9,3,204
data/0,10,2,mlp,1,1,sum,True,False,False,62,9,3,204
data/0,10,2,mlp,1,1,sum,False,False,,62,9,3,104
data/0,10,2,mlp,1,2,mean,True,False,True,62,9,3,304
data/0,10,2,mlp,1,2,mean,True,False,False,62,9,3,304
data/0,10,2,mlp,1,2,sum,True,False,True,62,9,3,304
data/0,10,2,mlp,1,2,sum,True,False,False,62,9,3,304
data/0,10,2,mlp,2,1,mean,True,True,True,62,9,3,170
data/0,10,2,mlp,2,1,mean,True,True,False,62,9,3,270
data/0,10,2,mlp,2,1,mean,False,True,,62,9,3,70
data/0,10,2,mlp,2,1,sum,True,True,True,62,9,3,170
data/0,10,2,mlp,2,1,sum,True,True,False,62,9,3,270
data/0,10,2,mlp,2,1,sum,False,True,,62,9,3,70
data/0,10,2,mlp,2,2,mean,True,True,True,62,9,3,270
data/0,10,2,mlp,2,2,mean,True,True,False,62,9,3,470
data/0,10,2,mlp,2,2,sum,True,True,True,62,9,3,270
data/0,10,2,mlp,2,2,sum,True,True,False,62,9,3,470
data/0,10,2,mlp,2,1,mean,True,False,True,62,9,3,224
data/0,10,2,mlp,2,1,mean,True,False,False,62,9,3,324
data/0,10,2,mlp,2,1,mean,False,False,,62,9,3,124
data/0,10,2,mlp,2,1,sum,True,False,True,62,9,3,224
data/0,10,2,mlp,2,1,sum,True,False,False,62,9,3,324
data/0,10,2,mlp,2,1,sum,False,False,,62,9,3,124
data/0,10,2,mlp,2,2,mean,True,False,True,62,9,3,324
data/0,10,2,mlp,2,2,mean,True,False,False,62,9,3,524
data/0,10,2,mlp,2,2,sum,True,False,True,62,9,3,324
data/0,10,2,mlp,2,2,sum,True,False,False,62,9,3,524
data/0,10,2,mlp,4,1,mean,True,True,True,62,9,3,210
data/0,10,2,mlp,4,1,mean,True,True,False,62,9,3,510
data/0,10,2,mlp,4,1,mean,False,True,,62,9,3,110
data/0,10,2,mlp,4,1,sum,True,True,True,62,9,3,210
data/0,10,2,mlp,4,1,sum,True,True,False,62,9,3,510
data/0,10,2,mlp,4,1,sum,False,True,,62,9,3,110
data/0,10,2,mlp,4,2,mean,True,True,True,62,9,3,310
data/0,10,2,mlp,4,2,mean,True,True,False,62,9,3,910
data/0,10,2,mlp,4,2,sum,True,True,True,62,9,3,310
data/0,10,2,mlp,4,2,sum,True,True,False,62,9,3,910
data/0,10,2,mlp,4,1,mean,True,False,True,62,9,3,264
data/0,10,2,mlp,4,1,mean,True,False,False,62,9,3,564
data/0,10,2,mlp,4,1,mean,False,False,,62,9,3,164
data/0,10,2,mlp,4,1,sum,True,False,True,62,9,3,264
data/0,10,2,mlp,4,1,sum,True,False,False,62,9,3,564
data/0,10,2,mlp,4,1,sum,False,False,,62,9,3,164
data/0,10,2,mlp,4,2,mean,True,False,True,62,9,3,364
data/0,10,2,mlp,4,2,mean,True,False,False,62,9,3,964
data/0,10,2,mlp,4,2,sum,True,False,True,62,9,3,364
data/0,10,2,mlp,4,2,sum,True,False,False,62,9,3,964
data/0,10,4,transformer,1,1,,,True,,62,9,3,180
data/0,10,4,transformer,1,2,,,True,,62,9,3,180
data/0,10,4,transformer,1,4,,,True,,62,9,3,180
data/0,10,4,transformer,1,1,,,False,,62,9,3,288
data/0,10,4,transformer,1,2,,,False,,62,9,3,288
data/0,10,4,transformer,1,4,,,False,,62,9,3,288
data/0,10,4,transformer,2,1,,,True,,62,9,3,300
data/0,10,4,transformer,2,2,,,True,,62,9,3,300
data/0,10,4,transformer,2,4,,,True,,62,9,3,300
data/0,10,4,transformer,2,1,,,False,,62,9,3,408
data/0,10,4,transformer,2,2,,,False,,62,9,3,408
data/0,10,4,transformer,2,4,,,False,,62,9,3,408
data/0,10,4,transformer,4,1,,,True,,62,9,3,540
data/0,10,4,transformer,4,2,,,True,,62,9,3,540
data/0,10,4,transformer,4,4,,,True,,62,9,3,540
data/0,10,4,transformer,4,1,,,False,,62,9,3,648
data/0,10,4,transformer,4,2,,,False,,62,9,3,648
data/0,10,4,transformer,4,4,,,False,,62,9,3,648
data/0,10,4,mlp,1,1,mean,True,True,True,62,9,3,216
data/0,10,4,mlp,1,1,mean,True,True,False,62,9,3,216
