datapath,batch_size,embedding_dim,n_features,step,loss,tv_dist,aggregator,n_layers,n_heads,i_in_context
data/0,64,2,10,10,0.742835134267807,0.2185308449981006,transformer,1,1,True
data/0,64,2,10,20,0.6487059593200684,0.1906765996157143,transformer,1,1,True
data/0,64,2,10,30,0.6723403334617615,0.1663722331805477,transformer,1,1,True
data/0,64,2,10,40,0.641491711139679,0.1481282681923905,transformer,1,1,True
data/0,64,2,10,50,0.5692295134067535,0.1382495676292991,transformer,1,1,True
data/0,64,2,10,60,0.618015319108963,0.1340900653186163,transformer,1,1,True
data/0,64,2,10,70,0.632628321647644,0.133129266269545,transformer,1,1,True
data/0,64,2,10,80,0.639818549156189,0.1311284128948495,transformer,1,1,True
data/0,64,2,10,90,0.6168949007987976,0.1266561642264531,transformer,1,1,True
data/0,64,2,10,100,0.7143927216529846,0.1244201515661843,transformer,1,1,True
data/0,64,2,10,50,0.6892929434776306,0.1351327147435179,transformer,1,1,False
data/0,64,2,10,100,0.6349753153324127,0.1083525529315275,transformer,1,1,False
data/0,64,2,10,150,0.6205435413122177,0.1072434372221724,transformer,1,1,False
data/0,64,2,10,200,0.6193046987056732,0.1063380217811655,transformer,1,1,False
data/0,64,2,10,250,0.6181684672832489,0.1043897138127515,transformer,1,1,False
data/0,64,2,10,300,0.630129930973053,0.1002603158129688,transformer,1,1,False
data/0,64,2,10,350,0.6279652500152588,0.1058777832512248,transformer,1,1,False
data/0,64,2,10,400,0.6336230731010437,0.1063859495479573,transformer,1,1,False
data/0,64,2,10,450,0.6333139455318451,0.1074833190367604,transformer,1,1,False
data/0,64,2,10,500,0.6246064877510071,0.1033983998382342,transformer,1,1,False
data/0,64,2,10,550,0.6317931723594665,0.1036231717215629,transformer,1,1,False
data/0,64,2,10,600,0.6262666767835617,0.1051825352760134,transformer,1,1,False
data/0,64,2,10,650,0.6284078705310822,0.1037509092397609,transformer,1,1,False
data/0,64,2,10,700,0.6322155654430389,0.1070973168305225,transformer,1,1,False
data/0,64,2,10,750,0.6267789554595947,0.1059237723248854,transformer,1,1,False
data/0,64,2,10,800,0.6366229915618896,0.1110125110936729,transformer,1,1,False
data/0,64,2,10,850,0.6231853890419007,0.1047143688386605,transformer,1,1,False
data/0,64,2,10,900,0.63179194688797,0.1035513814786057,transformer,1,1,False
data/0,64,2,10,950,0.624844114780426,0.1023609808907776,transformer,1,1,False
data/0,64,2,10,1000,0.6256086254119873,0.107037583475543,transformer,1,1,False
data/0,64,2,10,1050,0.6272227990627289,0.1032101907471472,transformer,1,1,False
data/0,64,2,10,1100,0.61984170794487,0.1026932863949866,transformer,1,1,False
data/0,64,2,10,1150,0.616849250793457,0.0999352849639112,transformer,1,1,False
data/0,64,2,10,1200,0.6216130590438843,0.0985012946089601,transformer,1,1,False
data/0,64,2,10,1250,0.6133410525321961,0.0989611930954241,transformer,1,1,False
data/0,64,2,10,1300,0.6341576981544494,0.0973995643901893,transformer,1,1,False
data/0,64,2,10,1350,0.6211022102832794,0.0975282965546536,transformer,1,1,False
data/0,64,2,10,1400,0.624932405948639,0.0976007608962696,transformer,1,1,False
data/0,64,2,10,1450,0.6156561875343323,0.0969832689269843,transformer,1,1,False
data/0,64,2,10,1500,0.6203243005275726,0.0964942378234661,transformer,1,1,False
data/0,64,2,10,1550,0.6282320606708527,0.0962970805235275,transformer,1,1,False
data/0,64,2,10,1600,0.6268215382099152,0.0961677454208922,transformer,1,1,False
data/0,64,2,10,1650,0.6251642239093781,0.0964167410919687,transformer,1,1,False
data/0,64,2,10,1700,0.6277739715576172,0.0977642975854119,transformer,1,1,False
data/0,64,2,10,1750,0.6298832046985626,0.0975098200107066,transformer,1,1,False
data/0,64,2,10,1800,0.6250221955776215,0.0978171815557205,transformer,1,1,False
data/0,64,2,10,1850,0.6267740005254745,0.0978927394301222,transformer,1,1,False
data/0,64,2,10,1900,0.6168793618679047,0.0975945228093985,transformer,1,1,False
data/0,64,2,10,1950,0.6311933374404908,0.0981942476775084,transformer,1,1,False
data/0,64,2,10,2000,0.624143306016922,0.0974376615148766,transformer,1,1,False
data/0,64,2,10,50,0.7057692444324494,0.1429839306913099,transformer,1,2,True
data/0,64,2,10,100,0.64850790143013,0.1245130879530582,transformer,1,2,True
data/0,64,2,10,150,0.6369950675964355,0.1235599663521692,transformer,1,2,True
data/0,64,2,10,200,0.6259752106666565,0.1128893085100677,transformer,1,2,True
data/0,64,2,10,250,0.6311180627346039,0.1105268176939223,transformer,1,2,True
data/0,64,2,10,300,0.6373326861858368,0.1131131321773758,transformer,1,2,True
data/0,64,2,10,350,0.6217398965358734,0.1075216522108761,transformer,1,2,True
data/0,64,2,10,400,0.6317973268032074,0.1041816496792842,transformer,1,2,True
data/0,64,2,10,450,0.6433566653728485,0.1045033333164531,transformer,1,2,True
data/0,64,2,10,500,0.6283487129211426,0.1056915430863728,transformer,1,2,True
data/0,64,2,10,550,0.6205348443984985,0.1020656049644525,transformer,1,2,True
data/0,64,2,10,600,0.6217938578128814,0.105652112912077,transformer,1,2,True
data/0,64,2,10,650,0.6273740005493164,0.1065008118341348,transformer,1,2,True
data/0,64,2,10,700,0.6342463231086731,0.1073056413371422,transformer,1,2,True
data/0,64,2,10,750,0.6172502553462982,0.1037391630784355,transformer,1,2,True
