,datapath,batch_size,embedding_dim,n_features,step,loss,tv_dist,aggregator,n_layers,n_heads,reduce_type,learn_adjacency,tie_embeddings,tie_aggregator
0,data/5,64,2,10,50,0.6640068173408509,0.24376598614570494,mlp,1,1,mean,True,True,True
1,data/5,64,2,10,100,0.5458959448337555,0.15564562155877554,mlp,1,1,mean,True,True,True
2,data/5,64,2,10,150,0.49133711218833925,0.12180934000068465,mlp,1,1,mean,True,True,True
3,data/5,64,2,10,200,0.46596582293510436,0.1204190434185322,mlp,1,1,mean,True,True,True
4,data/5,64,2,10,250,0.45725942313671114,0.11199983499839092,mlp,1,1,mean,True,True,True
5,data/5,64,2,10,300,0.4548863744735718,0.11164332664536804,mlp,1,1,mean,True,True,True
6,data/5,64,2,10,350,0.44920666456222536,0.11105773392177522,mlp,1,1,mean,True,True,True
7,data/5,64,2,10,400,0.4481846034526825,0.10860674461234918,mlp,1,1,mean,True,True,True
8,data/5,64,2,10,450,0.4445579195022583,0.11057205456282414,mlp,1,1,mean,True,True,True
9,data/5,64,2,10,500,0.44267519414424894,0.11453408871610335,mlp,1,1,mean,True,True,True
10,data/5,64,2,10,550,0.44267536759376525,0.11160148907327931,mlp,1,1,mean,True,True,True
11,data/5,64,2,10,600,0.43795410394668577,0.11187415385013942,mlp,1,1,mean,True,True,True
12,data/5,64,2,10,650,0.4450587993860245,0.1119699250626351,mlp,1,1,mean,True,True,True
13,data/5,64,2,10,700,0.43748933136463164,0.11659670446720206,mlp,1,1,mean,True,True,True
14,data/5,64,2,10,750,0.44398165941238404,0.11404529189993416,mlp,1,1,mean,True,True,True
15,data/5,64,2,10,800,0.4428371411561966,0.11278686235651797,mlp,1,1,mean,True,True,True
16,data/5,64,2,10,850,0.43676806569099424,0.11228747871571168,mlp,1,1,mean,True,True,True
17,data/5,64,2,10,900,0.43792942464351653,0.11150454071088262,mlp,1,1,mean,True,True,True
18,data/5,64,2,10,950,0.4360368502140045,0.11106745136096056,mlp,1,1,mean,True,True,True
19,data/5,64,2,10,1000,0.4363299697637558,0.1117644367945175,mlp,1,1,mean,True,True,True
20,data/5,64,2,10,1050,0.4311445903778076,0.11215086220297926,mlp,1,1,mean,True,True,True
21,data/5,64,2,10,1100,0.4261174750328064,0.11233236526826054,mlp,1,1,mean,True,True,True
22,data/5,64,2,10,1150,0.4258060544729233,0.11254999699616601,mlp,1,1,mean,True,True,True
23,data/5,64,2,10,1200,0.4241710877418518,0.1123488538912623,mlp,1,1,mean,True,True,True
